Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Barrel_Jack_Switch","CUI_PJ-035C",62.086300,-105.239700,180.000000,top
"J2","Conn_01x04","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",146.812000,-64.287400,-90.000000,top
"J3","Conn_01x04","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",146.812000,-80.797400,-90.000000,top
"J4","Conn_01x04","JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical",146.812000,-97.307400,-90.000000,top
"J5","Conn_01x04","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",91.694000,-110.744000,-90.000000,top
"J6","Conn_01x04","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",115.824000,-110.744000,-90.000000,top
"SW1","SW_Push_DPDT","MS-22D28-G020",52.324000,-77.216000,90.000000,top
"U1","feather_wing","feather_wing",79.629000,-80.797400,180.000000,top
"U2","feather_wing","feather_wing",103.759000,-80.797400,180.000000,top
"U3","feather_wing","feather_wing",127.889000,-80.797400,180.000000,top
